1,oval-shaped face, thin neck, rosy skin, black crew-cut hair, green wide-set eyes, normal brown eyebrows, medium eyelashes, full pink lips, round small nose, round large attached ears, narrow chin, angular jaw, woman, middle-aged, round glasses, goatee
2,oval-shaped face, thin neck, brown skin, black crew-cut hair, brown wide-set eyes, normal black eyebrows, medium eyelashes, full pink lips, round big nose, round large attached ears, narrow chin, angular jaw, woman, young, no glasses, goatee
3,rectangular face, short neck, rosy skin, blond short hair, brown wide-set eyes, normal blond eyebrows, medium eyelashes, full pink lips, round small nose, pointed small attached ears, narrow chin, angular jaw, woman, middle-aged, no glasses, goatee
4,oval-shaped face, thin neck, rosy skin, brown crew-cut hair, green wide-set eyes, normal brown eyebrows, medium eyelashes, full pink lips, round small nose, round small attached ears, narrow chin, angular jaw, woman, young, no glasses, goatee
5,oval-shaped face, thin neck, olive skin, black long hair, gray wide-set eyes, normal gray eyebrows, short eyelashes, thin red lips, round small nose, pointed large attached ears, narrow chin, strong jaw, woman, very young, no glasses, sideburns
6,rectangular face, thin neck, rosy skin, brown crew-cut hair, black wide-set eyes, normal white eyebrows, medium eyelashes, thin pink lips, round small nose, round small detached ears, narrow chin, angular jaw, woman, very young, no glasses, goatee
7,rectangular face, thin neck, pale skin, black spiky hair, green deep-set eyes, normal brown eyebrows, medium eyelashes, full pink lips, round small nose, pointed large detached ears, chiselled chin, strong jaw, boy, young, no glasses, no beard
8,rectangular face, fat neck, ruddy skin, gray crew-cut hair, black upturned eyes, normal white eyebrows, medium eyelashes, full pink lips, high small nose, round small attached ears, narrow chin, angular jaw, man, middle-aged, round glasses, 3 days beard
9,oval-shaped face, short neck, pale skin, brown crew-cut hair, blue wide-set eyes, normal white eyebrows, short eyelashes, thin pink lips, round small nose, pointed small attached ears, narrow chin, angular jaw, woman, young, no glasses, goatee
10,rectangular face, short neck, ruddy skin, white crew-cut hair, black wide-set eyes, thin white eyebrows, long eyelashes, full pink lips, long big nose, round small attached ears, chiselled chin, angular jaw, man, very old, no glasses, no beard
11,rectangular face, short neck, brown skin, white crew-cut hair, gray wide-set eyes, thin white eyebrows, short eyelashes, full pink lips, round small nose, round small detached ears, narrow chin, angular jaw, man, very young, oval glasses, unshaven
12,rectangular face, short neck, ruddy skin, gray crew-cut hair, black upturned eyes, normal blond eyebrows, medium eyelashes, full pink lips, round small nose, round large attached ears, wide chin, wide jaw, man, very old, no glasses, unshaven
13,rectangular face, thin neck, creamy skin, black crew-cut hair, brown wide-set eyes, normal brown eyebrows, medium eyelashes, full pink lips, round small nose, pointed small attached ears, narrow chin, angular jaw, woman, middle-aged, oval glasses, sideburns
14,oval-shaped face, short neck, ruddy skin, gray side-parting hair, blue wide-set eyes, normal blue eyebrows, medium eyelashes, full pink lips, round small nose, round large detached ears, chiselled chin, sharp jaw, man, very old, no glasses, 3 days beard
15,rectangular face, short neck, ruddy skin, gray crew-cut hair, black wide-set eyes, thin white eyebrows, short eyelashes, full pink lips, round small nose, round large attached ears, strong chin, angular jaw, man, very old, no glasses, no beard
16,rectangular face, fat neck, ruddy skin, white crew-cut hair, red upturned eyes, bushy black eyebrows, medium eyelashes, full red lips, long small nose, round small attached ears, wide chin, angular jaw, man, very old, no glasses, no beard
17,rectangular face, thick neck, ruddy skin, blond bald hair, black wide-set eyes, normal blond eyebrows, medium eyelashes, full pink lips, round small nose, round large attached ears, chiselled chin, angular jaw, man, middle-aged, round glasses, unshaven
18,rectangular face, thick neck, light skin, blond crew-cut hair, red wide-set eyes, thin black eyebrows, medium eyelashes, full pink lips, round small nose, pointed small attached ears, square chin, strong jaw, boy, young, no glasses, goatee
19,rectangular face, thin neck, ruddy skin, black crew-cut hair, green wide-set eyes, normal white eyebrows, short eyelashes, full pink lips, round small nose, round small attached ears, chiselled chin, angular jaw, man, young, no glasses, unshaven
20,rectangular face, thin neck, ruddy skin, brown side-parting hair, green wide-set eyes, thin brown eyebrows, short eyelashes, full pink lips, round big nose, pointed small attached ears, chiselled chin, angular jaw, man, young, no glasses, no beard
21,rectangular face, slender neck, ruddy skin, gray crew-cut hair, gray round eyes, normal blond eyebrows, long eyelashes, full red lips, round small nose, round small attached ears, round chin, angular jaw, man, young, round glasses, beard
22,oval-shaped face, thin neck, pale skin, brown crew-cut hair, gray wide-set eyes, thin gray eyebrows, short eyelashes, thin pink lips, round big nose, pointed small attached ears, chiselled chin, strong jaw, boy, very young, round glasses, sideburns
23,rectangular face, short neck, ruddy skin, blue dreadlocks hair, black wide-set eyes, normal black eyebrows, short eyelashes, full pink lips, high big nose, round large attached ears, narrow chin, angular jaw, man, very old, no glasses, 3 days beard
24,rectangular face, fat neck, creamy skin, red bald hair, black deep-set eyes, thin white eyebrows, short eyelashes, full pink lips, round big nose, round large attached ears, strong chin, angular jaw, man, very old, no glasses, 3 days beard
25,rectangular face, short neck, olive skin, gray crew-cut hair, red wide-set eyes, bushy black eyebrows, medium eyelashes, full red lips, round small nose, round small attached ears, wide chin, angular jaw, man, young, no glasses, 3 days beard
26,rectangular face, long neck, rosy skin, brown centre parting hair, blue wide-set eyes, thin brown eyebrows, short eyelashes, full pink lips, round small nose, long small attached ears, chiselled chin, strong jaw, boy, very young, no glasses, sideburns
27,rectangular face, short neck, rosy skin, blond side-parting hair, blue wide-set eyes, thin blond eyebrows, short eyelashes, full pink lips, round small nose, round small attached ears, round chin, angular jaw, boy, child, round glasses, sideburns
28,oval-shaped face, thin neck, rosy skin, gray crew-cut hair, black round eyes, normal black eyebrows, medium eyelashes, thin pink lips, round small nose, round large attached ears, narrow chin, angular jaw, boy, child, no glasses, unshaven
29,rectangular face, short neck, rosy skin, white side-parting hair, green wide-set eyes, normal blond eyebrows, medium eyelashes, full pink lips, upturned small nose, pointed small attached ears, chiselled chin, strong jaw, woman, middle-aged, no glasses, sideburns
30,rectangular face, thin neck, ruddy skin, gray crew-cut hair, red wide-set eyes, thin white eyebrows, short eyelashes, full pink lips, high small nose, round small attached ears, chiselled chin, angular jaw, man, middle-aged, no glasses, unshaven
31,rectangular face, thin neck, ruddy skin, black crew-cut hair, black wide-set eyes, thin black eyebrows, medium eyelashes, full pink lips, round small nose, pointed small attached ears, chiselled chin, angular jaw, man, middle-aged, no glasses, unshaven
32,rectangular face, fat neck, ruddy skin, gray crew-cut hair, black wide-set eyes, normal black eyebrows, short eyelashes, full pink lips, round small nose, round small attached ears, chiselled chin, angular jaw, man, middle-aged, no glasses, unshaven
